Id;Name
"41";"Meus Momentos"
"47";"The Best of Ed Motta"
"52";"Vin�cius De Moraes - Sem Limite"
"93";"Blue Moods"
"140";"Mais Do Mesmo"
"146";"Seek And Shall Find: More Of The Best (1963-1981)"
"161";"Demorou..."
"162";"Motley Crue Greatest Hits"
"170";"Bark at the Moon (Remastered)"
"173";"No More Tears (Remastered)"
"183";"Dark Side Of The Moon"
"204";"Morning Dance"
"247";"Vinicius De Moraes"
"282";"Mozart: Wind Concertos"
"304";"Beethoven Piano Sonatas: Moonlight & Pastorale"
"317";"Mozart Gala: Famous Arias"
"320";"Mozart: Symphonies Nos. 40 & 41"
"345";"Monteverdi: L'Orfeo"
"346";"Mozart: Chamber Music"
"347";"Koyaanisqatsi (Soundtrack from the Motion Picture)"
